,Year-Month,unemployment_rate
0,2010-01,9.8
1,2010-02,9.8
2,2010-03,9.9
3,2010-04,9.9
4,2010-05,9.6
5,2010-06,9.4
6,2010-07,9.4
7,2010-08,9.5
8,2010-09,9.5
9,2010-10,9.4
10,2010-11,9.8
11,2010-12,9.3
12,2011-01,9.1
13,2011-02,9.0
14,2011-03,9.0
15,2011-04,9.1
16,2011-05,9.0
17,2011-06,9.1
18,2011-07,9.0
19,2011-08,9.0
20,2011-09,9.0
21,2011-10,8.8
22,2011-11,8.6
23,2011-12,8.5
24,2012-01,8.3
25,2012-02,8.3
26,2012-03,8.2
27,2012-04,8.2
28,2012-05,8.2
29,2012-06,8.2
30,2012-07,8.2
31,2012-08,8.1
32,2012-09,7.8
33,2012-10,7.8
34,2012-11,7.7
35,2012-12,7.9
36,2013-01,8.0
37,2013-02,7.7
38,2013-03,7.5
39,2013-04,7.6
40,2013-05,7.5
41,2013-06,7.5
42,2013-07,7.3
43,2013-08,7.2
44,2013-09,7.2
45,2013-10,7.2
46,2013-11,6.9
47,2013-12,6.7
48,2014-01,6.6
49,2014-02,6.7
50,2014-03,6.7
51,2014-04,6.2
52,2014-05,6.3
53,2014-06,6.1
54,2014-07,6.2
55,2014-08,6.1
56,2014-09,5.9
57,2014-10,5.7
58,2014-11,5.8
59,2014-12,5.6
60,2015-01,5.7
61,2015-02,5.5
62,2015-03,5.4
63,2015-04,5.4
64,2015-05,5.6
65,2015-06,5.3
66,2015-07,5.2
67,2015-08,5.1
68,2015-09,5.0
69,2015-10,5.0
70,2015-11,5.1
71,2015-12,5.0
72,2016-01,4.8
73,2016-02,4.9
74,2016-03,5.0
75,2016-04,5.1
76,2016-05,4.8
77,2016-06,4.9
78,2016-07,4.8
79,2016-08,4.9
80,2016-09,5.0
81,2016-10,4.9
82,2016-11,4.7
83,2016-12,4.7
84,2017-01,4.7
85,2017-02,4.6
86,2017-03,4.4
87,2017-04,4.4
88,2017-05,4.4
89,2017-06,4.3
90,2017-07,4.3
91,2017-08,4.4
92,2017-09,4.3
93,2017-10,4.2
94,2017-11,4.2
95,2017-12,4.1
96,2018-01,4.0
97,2018-02,4.1
98,2018-03,4.0
99,2018-04,4.0
100,2018-05,3.8
101,2018-06,4.0
102,2018-07,3.8
103,2018-08,3.8
104,2018-09,3.7
105,2018-10,3.8
106,2018-11,3.8
107,2018-12,3.9
108,2019-01,4.0
109,2019-02,3.8
110,2019-03,3.8
111,2019-04,3.7
112,2019-05,3.6
113,2019-06,3.6
114,2019-07,3.7
115,2019-08,3.6
116,2019-09,3.5
117,2019-10,3.6
118,2019-11,3.6
119,2019-12,3.6
120,2020-01,3.6
121,2020-02,3.5
122,2020-03,4.4
123,2020-04,14.8
124,2020-05,13.2
125,2020-06,11.0
126,2020-07,10.2
127,2020-08,8.4
128,2020-09,7.8
129,2020-10,6.8
130,2020-11,6.7
131,2020-12,6.7
132,2021-01,6.4
133,2021-02,6.2
134,2021-03,6.1
135,2021-04,6.1
136,2021-05,5.8
137,2021-06,5.9
138,2021-07,5.4
139,2021-08,5.1
140,2021-09,4.7
141,2021-10,4.5
142,2021-11,4.1
143,2021-12,3.9
144,2022-01,4.0
145,2022-02,3.8
146,2022-03,3.6
147,2022-04,3.7
148,2022-05,3.6
149,2022-06,3.6
150,2022-07,3.5
151,2022-08,3.6
152,2022-09,3.5
153,2022-10,3.6
154,2022-11,3.6
155,2022-12,3.5
